iso_code,year,fertility_rate,current_usd,deflation,annual_rate,female_participation,unemployment,married_percentage,WGI,CPI10,CPI100,log_gdppc
SSF,1960,6.57175107156462,158.088126346407,,,,,,,,,5.063152639221853
SST,1960,5.04865766924653,,,,,,,,,,
STP,1960,6.242,,,,,,,,,,
SUR,1960,6.59,377.579399662016,,,,,,,,,5.933780876803284
SVK,1960,3.04,,,,,,,,,,
SVN,1960,2.185,,,,,,,,,,
SWE,1960,2.17,2128.38884406565,,,,,,,,,7.663120561243363
SWZ,1960,6.752,101.572799813694,,,,,,,,,4.620775780932268
SXM,1960,4.767,,,,,,,,,,
SYC,1960,5.313,288.058144476031,,,,,,,,,5.663162350300567
SYR,1960,7.505,183.525069735278,,,,,,,,,5.2123512779737675
TCA,1960,5.991,,,,,,,,,,
TCD,1960,6.25,102.819470459603,,,,,,,,,4.632974736444898
TEA,1960,4.85337152270027,91.3802571544005,,,,,,,,,4.515029450252423
TEC,1960,3.11774782563366,,,,,,,,,,
TGO,1960,6.797,102.238985564471,,,,,,,,,4.627313068479756
THA,1960,6.325,102.814571454958,,,,,,,,,4.632927088646894
TJK,1960,6.235,,,,,,,,,,
TKM,1960,6.59,,,,,,,,,,
TLA,1960,5.94699989004709,355.846240130251,,,,,,,,,5.874498727805664
TLS,1960,6.319,,,,,,,,,,
TMN,1960,6.98920934561558,143.393040951556,,,,,,,,,4.965589398058777
TON,1960,6.651,,,,,,,,,,
TSA,1960,5.99643314493816,85.1907206631683,,,,,,,,,4.444892515499756
TSS,1960,6.57175107156462,158.088126346407,,,,,,,,,5.063152639221853
TTO,1960,5.405,633.975608394336,,,,,,,,,6.452010481132999
TUN,1960,7.157,,,,,,,,,,
TUR,1960,6.383,267.091207552765,,,,,,,,,5.58759020138902
TUV,1960,5.146,,,,,,,,,,
TZA,1960,6.536,275.296020507813,,,,,,,,,5.617846956932618
UGA,1960,6.905,55.3784976132181,,,,,,,,,4.014191388686096
UKR,1960,2.285,,,,,,,,,,
UMC,1960,4.86607364303605,146.418020188803,,,,,,,,,4.986465682673749
URY,1960,2.827,491.031760304596,,,,,,,,,6.196508810640617
USA,1960,3.654,3002.08929545597,,,,,,,,,8.0070637570728
UZB,1960,6.613,,,,,,,,,,
VCT,1960,7.247,154.839953548866,,,,,,,,,5.042392025714995
VEN,1960,6.382,939.19776657754,,,,,,,,,6.84502607106583
VGB,1960,4.812,,,,,,,,,,
VIR,1960,5.149,,,,,,,,,,
VNM,1960,6.273,,,,,,,,,,
VUT,1960,6.784,,,,,,,,,,
WLD,1960,4.68612947945316,452.263158851681,,,,,,,,,6.114264220262684
WSM,1960,7.779,,,,,,,,,,
XKX,1960,6.359,,,,,,,,,,
YEM,1960,7.988,,,,,,,,,,
ZAF,1960,6.105,532.147504330332,,,,,,,,,6.2769207146899655
ZMB,1960,6.947,221.559848922849,,,,,,,,,5.400692751285491
ZWE,1960,7.195,276.419784061189,,,,,,,,,5.621920666977359
ABW,1961,4.422,,,,,,,,,,
AFE,1961,6.66730834168741,186.941781389892,1.93394654573322,-2.13293956795061,,,,,,,5.230797238915689
AFG,1961,7.284,,,,,,,,,,
AFW,1961,6.47835126186335,127.454188774276,3.2784459977796,-0.251141816867701,,,,,,,4.847756996302261
AGO,1961,6.79,,,,,,,,,,
ALB,1961,6.273,,,,,,,,,,
AND,1961,2.543,,,,,,,,,,
ARB,1961,6.97214164003418,212.889663386665,,,,,,,,,5.3607740192255395
ARE,1961,6.494,,,,,,,,,,
ARG,1961,3.12,971.338043308372,20.3106975290508,3.69719814247078,,,,,,,6.87867454705439
ARM,1961,4.67,,,,,,,,,,
ASM,1961,6.575,,,,,,,,,,
ATG,1961,4.559,,,,,,,,,,
AUS,1961,3.54,1877.70706376424,3.22196795615888,0.463351329917245,,,,,,,7.537806664515447
AUT,1961,2.78,1036.72820436083,5.08715371682055,4.96071718349167,,,,,,,6.94382507586314
AZE,1961,5.937,,,,,,,,,,
BDI,1961,7.023,71.601929936627,20.0774363431424,-15.9019652409847,,,,,,,4.271122028025501
BEL,1961,2.63,1367.78885228138,1.31546869427707,4.6302571341075,,,,,,,7.220950738522127
BEN,1961,6.402,92.085848129765,1.04143567396571,1.45114408357531,,,,,,,4.522721273797439
BFA,1961,6.286,72.2423787062462,1.90060824059779,2.55023265344265,,,,,,,4.280026836393949
BGD,1961,6.78,90.3685786294248,6.25748157867088,3.11041971905573,,,,,,,4.503896625444757
BGR,1961,2.29,,,,,,,,,,
BHR,1961,7.231,,,,,,,,,,
BHS,1961,5.156,1555.04660837439,1.16060127946953,5.34190503045808,,,,,,,7.3492607973952655
BIH,1961,3.888,,,,,,,,,,
BLR,1961,2.59,,,,,,,,,,
BLZ,1961,6.48,320.029476728041,1.76302704632303,2.29999307935888,,,,,,,5.768413106326595
BMU,1961,3.594,1773.99531572479,0.939036548137139,2.45886043672175,,,,,,,7.480989522350137
BOL,1961,6.257,107.443477717784,6.54817331154322,0.0249947459173541,,,,,,,4.676964920620606
BRA,1961,6.022,231.564063269854,34.6178049419981,5.37233941645053,,,,,,,5.44485656643055
BRB,1961,4.153,366.135499084709,-0.947999269781036,6.65489240850494,,,,,,,5.903003480966743
BRN,1961,7.185,,,,,,,,,,
BTN,1961,6.698,,,,,,,,,,
BWA,1961,6.564,62.3224006926623,1.93394654573322,3.97104422565002,,,,,,,4.132320922846571
CAF,1961,5.958,70.988125923024,4.63501852407487,3.0031837642328,,,,,,,4.262512622534271
CAN,1961,3.753,2246.08356619252,2.44442707980423,1.12134622601145,,,,,,,7.716943341281446
CEB,1961,2.39785654955442,,,,,,,,,,
CHE,1961,2.52,2155.44996908648,4.05828923728644,5.99064068661288,,,,,,,7.675754783101985
CHI,1961,2.41,,,,,,,,,,
CHL,1961,4.655,594.436306222113,6.30329826209852,3.34640006200324,,,,,,,6.387613571992644
CHN,1961,3.863,75.9655011127574,15.2463061119411,-26.5276436063691,,,,,,,4.330279304500805
CIV,1961,7.72,162.262764436326,2.99006346469766,5.99461548115963,,,,,,,5.089217023900096
CMR,1961,5.732,124.593165563331,5.06444908786447,-0.365494072590366,,,,,,,4.825053753832376
COD,1961,6.124,197.080395165053,6.09947816091348,-13.114064624223,,,,,,,5.2836117427734735
COG,1961,6.093,139.872074436703,6.29395669501037,5.5872755559119,,,,,,,4.9407282508580606
COL,1961,6.712,282.099440509948,8.22936825024104,1.89646467365196,,,,,,,5.642259634702007
COM,1961,6.849,,,,,,,,,,
CPV,1961,6.922,,,,,,,,,,
CRI,1961,6.651,355.844447873806,0.51621359451255,-1.84892293350329,,,,,,,5.874493691189406
CSS,1961,5.7863097441655,486.571129974937,1.76302704632303,7.35815766910801,,,,,,,6.187383098492604
